1.00		1.8656 			1.73560			1.6599			1.6126
1.04		1.9035 			1.77010			1.6956			1.6478
1.08		1.9429 			1.80800			1.7327			1.6844
1.12		1.9837 			1.84740			1.7712			1.7225
1.16		2.0261 			1.88820			1.8111			1.7616
1.20		2.0599 			1.93503			1.8524			1.8023
1.24		2.1151 			1.97590			1.895			1.8444
1.28		2.1619 			2.20190			1.9391			1.8878
1.32		2.2101 			2.06540			1.9845			1.9326
1.36		2.2597 			2.21152			2.0314			1.9738
1.40		2.3108 			2.21625			2.0796			2.0263
1.44		2.3634 			2.21352			2.1298			2.0752
1.48		2.4175 			2.26530			2.1802			2.1255
1.52		2.473  			2.51380			2.2325			2.1771
1.56		2.53   			2.25757			2.2863			2.2301
1.60		2.5884 			2.44300			2.3414			2.2845
1.64		2.6483 			2.48770			2.398			2.3402
1.68		2.7096 			2.54690			2.4559			2.3974
1.72		2.7724 			2.60740			2.5152			2.4558
1.76		2.8367 			2.66940			2.5788			2.5157
1.80		2.9024 			2.73528			2.6379			2.5769
1.84		2.9695 			2.79750			2.7013			2.6394
1.88		3.0382 			2.86370			2.7661			2.7034
1.92		3.1082 			2.95150			2.8325			2.7686
1.96		3.1797 			3.00050			2.8999			2.8353
2.00		3.2527 			3.07060			2.9683			2.9033
2.04		3.3271 			3.14240			3.0392			2.9727
2.08		3.4029 			3.21560			3.1108			3.0454
2.12		3.4802 			3.29020			3.1839			3.1155
2.16		3.5589 			3.36620			3.2583			3.1889
2.20		3.6391 			3.44355			3.3341			3.2638
2.24		3.7207 			3.52250			3.4113			3.3399
2.28		3.8038 			3.60250			3.4899			3.4174
2.32		3.8883 			3.65410			3.5698			3.4963
2.36		3.9748 			3.76710			3.6511			3.5766
2.40		4.9616 			3.85140			3.7338			3.6582
2.44		4.1504 			3.93720			3.8179			3.7411
2.48		4.2407 			4.02430			3.9033			3.8254
2.52		4.3324 			4.11290			3.9901			3.9111
2.56		4.4255 			4.20260			4.0782			3.9981
2.60		4.5201 			4.29420			4.1678			4.0865
2.64		4.6161 			4.38690			4.2587			4.1762
2.68		4.7135 			4.48100			4.3509			4.2673
2.72		4.8124 			4.57550			4.4446			4.3597
2.76		4.9127 			4.67540			4.5396			4.4555
2.80		5.0144 			4.77170			4.6359			4.5436
2.84		5.1175 			4.87140			4.7337			4.6451
2.88		5.2221 			4.97240			4.8328			4.7429
2.92		5.3282 			5.07490			4.9332			4.8421
2.96		5.4356 			5.17870			5.0351			4.9427
3.00		5.5445 			5.28400			5.1383			5.0446
3.04		5.6548 			5.39060			5.2428			5.1478
3.08		5.7665 			5.49860			5.3488			5.2524
3.12		5.8797 			5.60800			5.456			5.3583
3.16		5.9943 			5.71880			5.5647			5.4656
3.20		6.1103 			5.85090			5.6747			5.5743
3.24		6.2278 			5.94450			5.7862			5.6643
3.28		6.3466 			6.05940			5.8988			5.7956
3.32		6.467  			6.17570			6.0129			5.9083
3.36		6.5887 			6.29340			6.1284			6.0225
3.40		6.7118 			6.41250			6.2452			6.1377
3.44		6.8364 			6.55500			6.3634			6.2544
3.48		6.9524 			6.55480			6.483			6.3725
3.52		7.0898 			6.77800			6.6039			6.4919
3.56		7.2187 			6.90270			6.7261			6.6127
3.60		7.3490 			7.02870			6.8498			6.7348
3.64		7.4907 			7.15600			6.9748			6.8585
3.68		7.6158 			7.29480			7.1011			6.9831
3.72		7.7483 			7.41500			7.2288			7.1092
3.76		7.8843 			7.54650			7.3579			7.2367
3.80		8.0217 			7.57940			7.4883			7.3656
3.84		8.1605 			7.81357			7.6201			7.4957
3.88		8.3007 			7.94930			7.7532			7.6273
3.92		8.4424 			8.08640			7.8877			7.7602
3.96		8.5854 			8.22480			8.0236			7.8944
4.00		8.73   			8.35646			8.1608			8.03
4.04		8.8759 			8.50580			8.2994			8.1669
4.08		9.0232 			8.64840			8.4394			8.3051
4.12		9.1719 			8.79230			8.5807			8.4447
4.16		9.3221 			8.93770			8.7233			8.5857
4.20		9.4737 			9.08440			8.8673			8.728
4.24		9.6267 			9.23525			9.0127			8.9716
4.28		9.7811 			9.38190			9.1594			9.0166
4.32		9.937  			9.53280			9.3075			9.1629
4.36		10.0943			9.68500			9.4569			9.3106
4.40		10.253 			9.83860			9.6077			9.4596
4.44		10.413 			9.99560			9.7599			9.6099
4.48		10.5746			10.1499			9.9134			9.7516
4.52		10.7375			10.3077			10.0682			9.9147
4.56		10.9019			10.4668			10.2245			10.0690
4.60		11.0677			10.6275			10.382			10.2247
4.64		11.2349			10.7391			10.541			10.3813
4.68		11.4035			10.9524			10.7013			10.5402
4.72		11.5755			11.1170			10.8629			10.7
4.76		11.745 			11.2830			11.0259			10.8612
4.80		11.9178			11.4504			11.1903			11.0235
4.84		12.0921			11.6192			11.3560			11.1873
4.88		12.2678			11.7895			11.5230			11.3524
4.92		12.4449			11.9608			11.6914			11.5168
4.96		12.6254			12.1357			11.8612			11.6866
5.00		12.8034			12.3079			12.0324			11.9558
5.04		12.9848			12.4636			12.2048			12.0263
5.08		13.1676			12.6606			12.3737			12.1981
5.12		13.3518			12.9390			12.5539			12.3712
5.16		13.5374			13.0187			12.7304			12.5457
5.20		13.7245			13.1999			12.9083			12.7216
5.24		13.9129			13.3824			13.0876			12.8988
5.28		14.1027			13.5665			13.2682			13.0773
5.32		14.294 			13.7516			13.4502			13.2572
5.36		14.4867			13.9382			13.6335			13.4394
5.40		14.6809			14.1262			13.8182			13.6209
5.44		14.8763			14.3156			14.0042			13.8048
5.48		15.0733			14.5064			14.1916			13.9901
5.52		15.2717			14.6986			14.3803			14.1766
5.56		15.4714			14.9921			14.5704			14.3646
5.60		15.6727			15.0870			14.7619			14.5538
5.64		15.9752			15.2833			14.9547			14.7444
5.68		16.0792			15.4809			15.1488			14.9364
5.72		16.2847			15.6800			15.3443			15.1296
5.76		16.4915			15.8804			15.5412			15.3242
5.80		16.6998			16.0822			15.7394			15.5202
5.84		16.9094			16.2853			15.939			15.7175
5.88		17.1204			16.4898			16.1399			15.9162
5.92		17.3331			16.6957			16.3422			16.1161
5.96		17.5469			16.9030			16.5458			16.3175
6.00		17.7624			17.1117			16.7508			16.5201
6.04		17.9791			17.3217			16.9571			16.7241
6.08		18.1971			17.5331			17.1648			16.9294
6.12		18.4168			17.7459			17.3739			17.1361
6.16		18.6378			17.9601			17.5845			17.3441
6.20		18.8603			18.1755			17.796			17.5535
6.24		19.084 			18.3925			18.0091			17.7642
6.28		19.3091			18.6107			18.2236			17.9765
6.32		19.5359			18.8304			18.4394			18.1897
6.36		19.7639			19.0514			18.6565			18.4043
6.40		19.9936			19.2739			18.8751			18.6204
6.44		20.2243			19.4976			19.0949			18.8378
6.48		20.4565			19.7228			19.3162			19.0565
6.52		20.6904			19.9493			19.5337			19.2766
6.56		20.9255			20.1772			19.7627			19.4980
6.60		21.1622			20.4065			19.9889			19.7208
6.64		21.4000			20.6371			20.2146			19.9449
6.68		21.6393			20.9692			20.4426			20.1704
6.72		21.8802			21.1026			20.6720			20.3971
6.76		21.1224			21.3374			20.9027			20.6252
6.80		22.3662			21.5736			21.1347			20.8548
6.84		22.6111			21.8111			21.3681			21.0855
6.88		22.8575			22.0500			21.6028			21.3177
6.92		23.1056			22.2903			21.8390			21.5512
